Author/Year,Duration,Musical features,Style,Source,Delivery,Intensity,Selection,Familiarity,Attention
Nanba et al. (1992),7 min,Composite,Dance and New Age,Every Little Time from Eurobeat and Song for Peace composed by Kitaro and played on a synthesizer.,,,Pre‐selected by investigator,,
Nanba et al. (1993),14 min 4 s,Composite,Japanese ceremonial music,"Gagaku, an old Japanese ceremonial music form.",,,Pre‐selected by investigator,,“by making them listen” (p. 95).
Baumgartner et al. (2006),70 s,Composite,Classical orchestral pieces,"Excerpts of exactly 70 s from: (1) Gustav Holst: Mars the Bringer of War from The Planets; (2) Samuel Barber, Adagio for Strings; and (3) Beethoven, Symphony no. 6 (3rd mvt).",,,Pre‐selected by investigator,,Instructed to place themselves into the same mood as expressed by the stimuli.
Steinbeis et al. (2006),9–20 s,Harmony (cadence/expectation),Classical chorales,"Three matched versions of six Bach chorales, differing only by one chord to be harmonically expected, unexpected, and very unexpected. Taken from previously recorded MIDI files and altered in CuBase SX. Played without expressive features, tempo and loudness kept constant throughout. Score cited. Pieces and sections used provided in a table. Score example in figure.",,,Pre‐selected by investigator,,Compared length of extract and indicated if longer or shorter than previous.
Koelsch et al. (2008),8–16 s,Harmony (expectation),Classical piano sonatas,"25 excerpts from Sonatas by Beethoven, Haydn, Mozart, and Schubert, played by professional pianists and recorded to MIDI to create three harmonic versions of each excerpt (Expected, Unexpected, and Very Unexpected) by modifying a single chord, resulting in 75 unique files. For each of those 75 files a non‐expressive version was created by digitally removing all tempo and loudness variation, resulting in 150 stimuli in total. Score example in figure.",,,Pre‐selected by investigator,,Button press to indicate detection of chords played with a deviant instrument.
O'Kelly et al. (2013),,Composite,,Digital recordings of disliked music and white noise.,,50–70 dB,"Pre‐selected by investigator, participant selected from own collection",,
Kuribayashi et al. (2014),200 s,Inaudible HF components,Classical Baroque,"First 200 s of French Suite No. 5 by J. S. Bach played on cembalo (harpsichord), and a high‐cut version produced by digitally removing all frequencies above 20 kHz using a specialized low‐pass filter with an extremely steep slope (−1673 dB/octave). Supporting Information shows average power spectra of the two versions of the music.",Speakers,70 dB,Pre‐selected by investigator,,Asked to listen to the music.
Jäncke et al. (2015),"Blocks 1 & 3, 18 min; Block 2, 15 min",Composite,Classical Opera,"iTunes version of Nessun dorma, as sung by Paul Potts (~175 s duration).","HiFi earphones (Sennheiser, CX‐350)",75 dB,Pre‐selected by investigator,Familiar,Instructed to listen carefully to the music.
"Mollakazemi, Biswal, Evans, and Patwardhan (2018)",,Tempo,,"Slow & fast tempo songs, favorite song which “moved” them.",Circumaural headphones,,Pre‐selected by investigator; participant selected from own collection,Both,
"Mollakazemi, Biswal, and Patwardhan (2018)",3–4 min,Tempo,,"Slow & fast tempo songs, favorite song. Local phase randomized favorite and fast tempo songs.",,,Pre‐selected by investigator; participant selected from own collection,Both,
Mollakazemi et al. (2019),,Tempo,,Favorite song. Fast and slow tempo vocal songs in Italian language. Favorite song and unknown (fast) songs processed for local phase randomization.,Circumaural headphones (mono),A level that was comfortable,Pre‐selected by investigator; participant selected from own collection,Both,
Teixeira Borges et al. (2019),111 s,"Loudness, pitch & rhythm",Classical Piano compositions from the Humdrum Kern database,"Two distinct compositions from six different composers obtained from Qobuz.com. Details of composer, performer and piece provided in Supporting Information the paper.",Speakers,65 dB,Pre‐selected by investigator,Both,Visual cue before each piece signaling to concentrate on the music.
Mollakazemi et al. (2020),,Tempo,,"Slow & fast tempo songs. Two songs, known and unknown, and two scrambled phase of local spectra versions of known and unknown songs.",,,Pre‐selected by investigator; participant selected from own collection,Both,
Kumarasinghe et al. (2021),3 min,Complexity (embedded noise),Classical,"Für Elise by Beethoven, altered by white, pink & brown noise.^a",,,Pre‐selected by investigator,,
Mollakazemi et al. (2021),,Tempo,,Slow and fast tempo songs. An unknown (fast) song and favorite song. Phase randomized version of known and unknown songs.,Circumaural headphones,,Pre‐selected by investigator; participant selected from own collection,Both,
Namazi et al. (2021),3 min,Complexity (embedded noise),Classical,"Für Elise by Beethoven, rhythm complexity altered by white, pink & brown noise.^a",,,Pre‐selected by investigator,,
Sharma et al. (2021),8 min,Tempo & Pitch (octave),Carnatic (Indian) classical music,"Two custom recorded instrumental pieces played on Violin and Mridangam, one with incremental variations in tempo and octave. Details in text in Supporting Information of the paper.",Speakers,55–65 dB,Pre‐selected by investigator,Both,
Kawashima et al. (2024),3 min,Composite,,8 Pieces from the Music Emotion Recognition (MER) database plus 4 that were familiar and likely to evoke emotion.,,,Pre‐selected by investigator; participant selected from a limited set,Both,
