Author/Year,Variables,Electrode configuration,Electrode type,Impedance,References,Filtering,Hardware,Sampling frequency (Hz)
Nanba et al. (1992),EEG spectral power measurements,10–20,Conventional,,,,"Nihon‐Kohden, SR 115‐S",
Nanba et al. (1993),EEG spectral power measurements,10–20,Conventional,,,,"Signal processor (NEC‐San Ei, 7 T‐07A)",
Baumgartner et al. (2006),EEG spectral power measurements,10–20,Ag/AgCl,< 5 kΩ,Recomputed to average reference,Digitally band passed to 1.5–30 Hz,"Easy Cap System, Brain Vision amplifier, recorder and analyzer",500
Steinbeis et al. (2006),Mean ERP values,10–20,Ag/AgCl,,Left mastoid,"Filtered off‐line using a band‐pass filter with a frequency range of 0.25–25 Hz (3001 points, FIR)",32/MREFA amplifiers,500
Koelsch et al. (2008),Early right anterior negativity (ERAN) and the N5 ERPs,Extended 10–20,Ag/AgCl,,Left mastoid as reference. Re‐referenced to the algebraic mean of the left and right mastoid.,"0.25–25‐Hz band‐pass filter (1001 points, FIR)",,500
O'Kelly et al. (2013),EEG spectral power measurements,10–20,,,Common average montage,Hi/low cut off bandpass filter at 0.5 and 30 Hz.,XLTEC 50 channel video EEG and neuro‐physiological acquisition system,512
Kuribayashi et al. (2014),EEG spectral power measurements,10–20,,,"Average reference online; re‐referenced to the linked‐earlobe reference (A1, A2) offline.",Bandpass DC to 200 Hz,QuickAmp,1000
Jäncke et al. (2015),EEG spectral power measurements,128‐Channel Geodesic,,< 30 kΩ,Cz served as an on‐line reference,Band‐pass filtered at 0.1–100 Hz. band‐pass filtered (1–40 Hz) including a notch‐filter of 50 Hz.,128‐Channel Geodesic EEG system,500
"Mollakazemi, Biswal, Evans, and Patwardhan (2018)",Amplitude eigenvalues 300 ms pre R peak,10–20,,,,,"Biopac, IPS100",1000
"Mollakazemi, Biswal, and Patwardhan (2018)",Eigen decomposition of the covariance of the data matrix of pre R peak EEG segments,Locations given,,,,Band pass Butterworth IIR filter,,1000
Mollakazemi et al. (2019),"LF and HF coherence of EEG with RR, SBP, DBP, and Respiration.",Locations given,,,,"The envelope function in MATLAB was used to compute the envelopes of the EEG. The envelopes, respiration and piecewise constant HR, SBP, and DBP were low‐pass filtered with a cutoff frequency of 5 Hz and sub‐sampled at a rate of 10 samples/s.",Biopac,1000
Teixeira Borges et al. (2019),Scaling exponent of neuronal activity in various frequency bands,128‐Channel Geodesic,Ag/AgCl,< 50–100 kΩ range,Vertex,Non‐notch sinusoidal removal (PREP pipeline). Avoided standard high‐pass/notch filters to minimize long‐term signal distortion and preserve high‐frequency activity. Used a small sliding window (< 1 s) (Bigdely‐Shamlo et al. 2015),128‐Channel Geodesic EEG system,1000
Mollakazemi et al. (2020),MSC of low frequency time series extracted from envelope profile of EEG,Locations given,,,,Envelope,Biopac,1000
Kumarasinghe et al. (2021),Fractal dimension and sample entropy of EEG,10–20,,,A1 & A2,Removed DC offset then a fourth‐order Butterworth band‐pass filter (1–40 Hz),Muse EEG,256
Mollakazemi et al. (2021),Eigen decomposition of autocovariance of EEG segments synchronized to three different 300 ms segments of the cardiac cycle,Locations given,,,,"Bandpass Butterworth IIR filter. In total band, no bandpass filter was used, and 0.5–100 Hz and 0.5–125 Hz bands (filtered by the same bandpass Butterworth) were used to confirm the results of the total band.",Biopac,1000
Namazi et al. (2021),Shannon entropy of EEG signals,Locations given,,,"3 reference electrodes as shown in (Liu et al. 2020), fig.1",Removed DC offset then a fourth‐order Butterworth band‐pass filter (1–40 Hz),Muse EEG,256
Sharma et al. (2021),EEG spectral power measurements,10–10,Saline‐based,,,,32‐channel EEG electrode cap (RapidCap) EEG‐ERP system,1024
Kawashima et al. (2024),EEG spectral power measurements,10–20,Dry,,Re‐referenced to all electrodes,Offline bandpass filter from 2 to 40 Hz,"8 channel Neuroelectrics cap. StarStim (Neuroelectrics, Barcelona, Spain)",500
