Author/Year,Region,Aim of study,Findings,Brain‐heart interaction tested
Nanba et al. (1992),East Asia,"To investigate the effects of listening to modern music, categorized as stimulative or sedative, on EEG patterns, BP, HR, and Resp.","A transient decrease in right and left parietal Theta and Alpha was observed when both music types began; this activity then increased 2 min into the music. Theta increase to stimulative music was brief, to sedative music left maintained a high level throughout the music and right began to decrease after 3 mins. Alpha increased to stimulative but not sedative music. HR increased a little to stimulative music but not to sedative music. BP decreased during both stimulative and sedative music (both systolic and diastolic). Resp increased to stimulative but not sedative music.",No
Nanba et al. (1993),East Asia,"Investigate old Japanese music using EEG, BP, HR and Resp.","Left and right parietal Theta and Alpha showed significant increases during listening, with sex differences. BP and HR decreased but Resp increased slightly during music.",No
Baumgartner et al. (2006),Western Europe,"To examine the influence of visual and musical stimuli on brain processing using classical musical excerpts to evoke the three basic emotions of happiness, sadness and fear.","Alpha power density was largest (reflecting reduced brain activity) for sound conditions, intermediate for picture conditions, and lowest for the combined presentations. HR and Resp increased significantly during conditions involving music compared to visual only.",No
Steinbeis et al. (2006),Western Europe,To explicitly test the hypothesis that harmonic expectancy violations are also emotionally significant.,"Very unexpected chord (Neapolitan Sixth) elicited a distinct early negativity (EN) (~230 ms). The EN was followed by a slight positivity. Unexpected chord elicited an EN ~310 msec broadly distributed over the scalp, strongest over fronto‐central sites.^b No significant changes in the IBI for the three different types of harmonization in any of the three time windows (0–2 s, 2–4 s, 4–6 s).",No
Koelsch et al. (2008),Western Europe,"To investigate ERPs and HR in response to unexpected chords (as composed by classical composers) in a condition in which musical excerpts were played with musical expression by a pianist, and a condition in which excerpts were played without musical expression by a computer (no variation in tempo or loudness).","Both unexpected and highly unexpected chords triggered an early right anterior negativity (ERAN), whose amplitude nominally varied with harmonic irregularity (non‐significant). Emotional expression influenced N5 amplitude, without significant P3a effects, suggesting music syntax and emotion processing are distinct. No significant differences in IBI across chord types or expressiveness levels.",No
O'Kelly et al. (2013),Western Europe,To investigate the effects of musical stimuli commonly used in music therapy with other auditory stimuli on neurophysiological and behavioral responses in individuals with disorders of consciousness.^c,"Liked music had greatest effect on right hemisphere EEG amplitude with similar increases to white noise in left. Distinct responses in frontal and temporal regions across bandwidths, with bias towards right hemisphere. Significant peak increase in Resp to liked music. Eyes Closed (EC) LF HRV approached significance, but change was non‐specific across stimuli. Significance for HR and HRV was less clearly defined in relation to effects of individual stimuli.^c",No
Kuribayashi et al. (2014),East Asia,"To investigate the effects, and their time course, of inaudible high‐frequency components in high‐resolution music on EEG and HR.","High‐alpha EEG power significantly higher for full‐range music excerpts compared to high‐cut ones at left occipital region during last 50 s of listening, indicating a brain response to high‐frequency components without conscious awareness or changes in subjective feelings, heart rate, or facial expressions. No significant main or interaction effects of sound type for HR.",No
Jäncke et al. (2015),Western Europe,"To identify EEG oscillation time course patterns, and psychophysiological arousal, related to musical stimulus acoustic features and assess their stability during repeated exposure to the same piece of music.","Continuous increase in Event Related Synchronization in all frequency bands during music listening (relative to the pre‐music baseline). HR consistent across presentations. HR was lower in minute 2 of the 3‐min listening period. HR decreased with increased acoustic complexity and event‐related synchronization, despite an increase in EEG relative power and event‐related synchronization in central and parietal areas during listening.",Yes
"Mollakazemi, Biswal, Evans, and Patwardhan (2018)",North America,To investigate the effects of tempo and cognition in music listening on eigen decomposition of cardiac‐synchronized EEG.,"Eigen values decreased while listening to music, most significantly to slow song and particularly at P3. T4 showed the greatest change in EEG dimensionality: most concentrated variance during slow song, most distributed during favorite song. ECG measures were not reported.",Partial
"Mollakazemi, Biswal, and Patwardhan (2018)",North America,To investigate the effects of tempo and cognition induced by auditory stimuli using cardiac‐synchronized EEG segments,"Parietal Alpha most sensitive to auditory input. Gamma (right hemisphere) most sensitive to cognition. Favorite song caused largest changes in all EEG. Fast tempo song caused larger changes than slow. Alpha, Gamma and Gamma2 significantly affected by auditory input; Theta, least affected; Delta, no significant changes. ECG measures were not reported (Cognitive engagement was operationalized as a self‐selected favorite vs. an unfamiliar song).",Partial
