Author/Year,EEG measures,ECG measures,EEG‐ECG interactions during music listening
Nanba et al. (1992),Transient ↓ right & left parietal theta and alpha at music onset; ↑ after 2 min. Stimulative music: ↑ Theta (brief); ↑ Alpha. Sedative music: ↑ Theta (left parietal); ≈ Alpha.,Stimulative music: slight ↑ HR; ↓ BP (both systolic and diastolic); ↑ Resp. Sedative music: ≈ HR; ↓ BP (both systolic and diastolic); ≈ Resp.,
Nanba et al. (1993),"↑ left & right parietal theta and alpha, with sex differences.",↓ BP & HR; slight ↑ Resp.,
Baumgartner et al. (2006),↑ Alpha power density.,↑ HR & Resp.,
Steinbeis et al. (2006)^a,"Very unexpected chord (Neapolitan Sixth) elicited distinct EN (~230 ms) followed by slight positivity. Unexpected chord elicited EN ~310 ms broadly distributed over the scalp, strongest over fronto‐central sites.",≈ IBI.,
Koelsch et al. (2008),Unexpected and highly unexpected chords triggered ERAN (amplitude ≈ varied with harmonic irregularity). Expression influenced N5 amplitude (↑ for expressive vs. unexpressive performance); ≈ P3a.,≈ IBI.,
O'Kelly et al. (2013)^b,↑ frontal right alpha and beta (liked music). ↑ frontal‐midline theta for liked vs. disliked music.,"↑ Peak Resp (liked music). ≈ HRV, although increase in eyes‐closed LF HRV was near‐significant (p = 0.054).",
Kuribayashi et al. (2014),↑ High‐alpha power in left occipital region during last 50 s (full‐range vs. high‐cut music).,≈ HR.,
Jäncke et al. (2015),"↑ Theta, low alpha‐1, low alpha‐2, upper alpha, and beta power (i.e., continuous ↑ event‐related synchronization). Positive correlations between acoustic variables (acoustic envelope, acoustic complexity) and power synchronization in each band.",↓ HR in minute 2 (of 3 min listening). Negative correlation between acoustic complexity and HR.,Negative correlation between HR and the event‐related synchronization in each band across the time course of music listening.
"Mollakazemi, Biswal, Evans, and Patwardhan (2018)","↓ Eigenvalues; slow song produced most significant decreases (T3, T4, P3). P3 most sensitive across all songs. T4 showed the greatest change in EEG dimensionality: most concentrated variance during slow song, most distributed during favorite song.",Nil^c,
"Mollakazemi, Biswal, and Patwardhan (2018)","Parietal alpha most sensitive to auditory input. Gamma (right hemisphere) most sensitive to cognition. Favorite song caused largest changes. Alpha, Gamma & Gamma2 significantly affected; Theta least affected; Delta no significant changes.",Nil^c,
Mollakazemi et al. (2019),↑ coherence of EEG with cardiovascular and respiratory rhythms (see EEG‐ECG).,HR and IBI reported as part of coherence analysis (see EEG‐ECG).,"↑ coherence among cerebral, cardiovascular & respiratory rhythms during music listening. Slow tempo songs ↑ higher than fast; larger effect sizes in frontal region & right hemisphere."
Teixeira Borges et al. (2019),"Alpha, beta & gamma bands implicated in music processing. Neuronal scaling exponent ↓ in temporal areas, linked to pleasure.","↑ HR (AVNN), proportional to pitch scaling. HRV measures modulated but α₁ (heart) not consistently affected.",Positive correlation between neuronal & cardiac dynamics during music listening.
Mollakazemi et al. (2020),↑ synchronization among low‐frequency brain responses and physiological variables (see EEG‐ECG).,IBI reported as part of coherence analysis (see EEG‐ECG).,"↑ synchronization among low‐frequency brain responses & physiological variables. Slow songs highest, fast lowest. T4 greatest synchronization; right hemisphere>left."
Kumarasinghe et al. (2021),"EEG complexity ↑ with music complexity, showing strong correlation.",HRV complexity ↓ in response to music though not statistically significant.,"Both EEG & HRV complexity synchronized to music's fractal dimension, indicating unified brain‐heart response."
Mollakazemi et al. (2021),"Complexity of EEG ↑ with tempo & cognitive engagement, particularly for fast & favorite songs. Parietal & temporal lobes most affected; slow songs less complex; right hemisphere>left.",Nil^c,
Namazi et al. (2021),SE of EEG lowest at rest; ↑ with each music presentation. Brown noise (lowest complexity) music showed largest difference from rest.,SE of HRV highest during rest; ↓ with each music presentation (inverse of EEG). HRV variations not significant.,"Music, EEG & HRV SE changes correlated."
Sharma et al. (2021),Significant ↓ lower frequency EEG power in bilateral temporo‐parieto‐occipital regions for VM. SM group ↑ in higher frequencies.,Significant ↓ rrHRV for silence but not during music. No significant difference in other HRV parameters.,
Kawashima et al. (2024),Parieto‐occipital alpha2 power (10–12 Hz) assessed (see EEG‐ECG).,nHF assessed (see EEG‐ECG).,Positive partial correlation between parieto‐occipital alpha2 power & nHF during both music listening (accounting for arousal & valence) & rest (accounting for fatigue & sleepiness).
