Author/Year,Hypothesis,Room details,Time of day,Orientation,Visual state,Control/Baseline,Power analysis,Ethics/Informed consent
Nanba et al. (1992),,"Temperature controlled, air‐conditioned",,Seated,Blindfolded,Before: 7 min (first 2 min excluded) rest; After: 5 min rest,,
Nanba et al. (1993),,"Temperature controlled, air‐conditioned",,Seated,Eyes covered with eye bandages,Before: 7 min (first 2 min excluded) rest; After: 5 min rest.,,
Baumgartner et al. (2006),That the combined presentation of two emotional stimuli will result in increased activation in emotional brain structures and correspondingly increase subjective and psychophysiological arousal,,,Seated (with head in a chin rest),EO—Fixation cross,"Compared music, music + visual, visual (no neutral control)",,Both
Steinbeis et al. (2006),"That increasing harmonic unexpectedness would heighten subjective emotion, perceived tension, physiological arousal, and elicit specific brain responses.^a",,,,EO,"EEG: averages computed with a 2500 ms prestimulus baseline^c, ECG: averages computed with a 1 s prestimulus baseline^c",,
Koelsch et al. (2008),"That unexpected harmonies, compared to expected, would increase both physiological arousal and specific neural responses. That musical expression would further increase physiological arousal but not influence brain responses.",,,,EO—Fixation cross,EEG: 200‐ms prestimulus baseline for each ERP. ECG baseline not reported.^c,,Both
O'Kelly et al. (2013),,,,,"EO, EC; only EC analyzed.^b “Instructed to close their eyes half way into each stimulus presentation to provide both eyes open and closed data” (p. 4).",Before: 5 min silence,,Ethics only
Kuribayashi et al. (2014),,,,,EO—while looking at a landscape picture,Non‐hi‐cut music (control),,Both
Jäncke et al. (2015),,Sound‐shielded,,Seated,EC,5 s baseline immediately before music presentation,,Both
"Mollakazemi, Biswal, Evans, and Patwardhan (2018)",,,,,EC,No song (control),,Ethics only
"Mollakazemi, Biswal, and Patwardhan (2018)",That interactions between cardio‐cerebral rhythms cause changes in neuronal oscillations when auditory stimuli are synchronized with cardiac rhythm.,,,Seated,EC,10 min no song (control),,Both
Mollakazemi et al. (2019),,"Normal indoor conditions (temperature, humidity)",,Seated,EC,"10 min, no music & no headphone over ears, before and after",,Both
Teixeira Borges et al. (2019),That the brain's sensitivity and pleasure from music arise from the shared dynamical patterns between the music's scaling and the brain's neuronal scaling behavior.,,,,EC,3 min EC rest before,,Both
Mollakazemi et al. (2020),,,,Seated,EC,10 min no song (control),,Both
Kumarasinghe et al. (2021),,Isolated from external disturbances,,Seated,,3 min rest before,,Both
Mollakazemi et al. (2021),,,,,EC,10 min EC no song before,,Both
Namazi et al. (2021),,,,,,3 min rest before,,Both
Sharma et al. (2021),That music with incremental tempo and octave modulations would produce a greater anxiolytic (anxiety‐reducing) physiological and psychological response compared to music without these changes or silence.,Dim‐lit sound‐attenuated chamber,"Morning, Noon and Evening sessions (3 pm—7 pm)",Seated,EC,"EEG analysis: 3 min silent rest (baseline) before intervention; and during 8 min intervention (stable/variable music vs. silence [control]) ECG: ‘resting state’ activity on the first vs. last day of each 1‐week intervention (music, silence). Note: Intervention involved 6 sessions over 1 week. See paper for full timing details.",✓,Ethics only
Kawashima et al. (2024),,,,,EC,3 min EC rest before & after,,Both
